newspaper,date,candidate,scores,color
NY Times,20121005,romney,0.0129103,000000
NY Times,20121006,obama,0.012325,000000
NY Times,20121006,romney,-0.00706486,000000
NY Times,20121006,obama,0.374717,000000
NY Times,20121006,romney,0.394265,000000
NY Times,20121007,obama,-0.0776542,000000
NY Times,20121007,romney,-0.0653266,000000
NY Times,20121007,obama,-0.340395,000000
NY Times,20121007,romney,-0.0452576,000000
NY Times,20121008,obama,-0.156896,000000
NY Times,20121008,romney,0.011347,000000
NY Times,20121008,obama,0.362308,000000
NY Times,20121008,romney,0.145973,000000
NY Times,20121009,obama,0.148786,000000
NY Times,20121009,romney,-0.0524772,000000
NY Times,20121009,obama,-0.0104527,000000
NY Times,20121009,romney,-0.38728,000000
NY Times,20121010,obama,0.0517875,000000
NY Times,20121010,romney,0.06225,000000
NY Times,20121010,obama,0.44893,000000
NY Times,20121010,romney,0.088101,000000
NY Times,20121011,obama,0.0208815,000000
NY Times,20121011,romney,-0.00843131,000000
NY Times,20121011,obama,0.176215,000000
NY Times,20121011,romney,-0.0144138,000000
NY Times,20121012,obama,0.203732,000000
NY Times,20121012,romney,-0.00111351,000000
NY Times,20121012,obama,-0.191745,000000
NY Times,20121012,romney,0.203376,000000
NY Times,20121013,obama,0.173927,000000
NY Times,20121013,romney,-0.0614506,000000
NY Times,20121013,obama,0.0233707,000000
NY Times,20121013,romney,-0.264696,000000
NY Times,20121014,obama,0.112546,000000
NY Times,20121014,romney,-0.497416,000000
NY Times,20121014,obama,-0.205553,000000
NY Times,20121014,romney,0.00330585,000000
NY Times,20121015,obama,0.120765,000000
NY Times,20121015,romney,-0.0127666,000000
NY Times,20121015,obama,-0.0249294,000000
NY Times,20121015,romney,-0.129209,000000
NY Times,20121016,obama,-0.234734,000000
NY Times,20121016,romney,-0.118127,000000
NY Times,20121016,obama,-0.135953,000000
NY Times,20121016,romney,-0.275723,000000
NY Times,20121017,obama,0.141228,000000
NY Times,20121017,romney,0.170144,000000
NY Times,20121017,obama,0.0282493,000000
NY Times,20121017,romney,-0.0878107,000000
NY Times,20121018,obama,0.131186,000000
NY Times,20121018,romney,0.028265,000000
NY Times,20121018,obama,0.144212,000000
NY Times,20121018,romney,0.0287011,000000
NY Times,20121019,obama,-0.0198068,000000
NY Times,20121019,romney,-0.0117675,000000
NY Times,20121019,obama,-0.0659879,000000
NY Times,20121019,romney,0.127982,000000
NY Times,20121020,obama,-0.277298,000000
NY Times,20121020,romney,-0.141033,000000
NY Times,20121020,obama,-0.0412611,000000
NY Times,20121020,romney,0.0488891,000000
NY Times,20121021,obama,0.0621145,000000
NY Times,20121021,romney,0.0153312,000000
NY Times,20121021,obama,-0.0962555,000000
NY Times,20121021,romney,-0.150485,000000
NY Times,20121022,obama,-0.0607764,000000
NY Times,20121022,romney,0.153153,000000
NY Times,20121022,obama,-0.254705,000000
NY Times,20121022,romney,-0.170932,000000
NY Times,20121023,obama,0.0270341,000000
NY Times,20121023,romney,-0.0337688,000000
NY Times,20121023,obama,-0.292087,000000
NY Times,20121023,romney,-0.318682,000000
NY Times,20121024,obama,0.0625352,000000
NY Times,20121024,romney,0.0285085,000000
NY Times,20121024,obama,-0.0854975,000000
NY Times,20121024,romney,-0.0706024,000000
NY Times,20121025,obama,0.0356792,000000
NY Times,20121025,romney,-0.028928,000000
NY Times,20121025,obama,0.0836205,000000
NY Times,20121025,romney,0.0757416,000000
NY Times,20121026,obama,0.0934405,000000
NY Times,20121026,romney,0.212385,000000
NY Times,20121026,obama,0.181647,000000
NY Times,20121026,romney,0.108333,000000
NY Times,20121027,obama,0.0494976,000000
NY Times,20121027,romney,-0.0470111,000000
NY Times,20121027,obama,0.0923352,000000
NY Times,20121027,romney,-0.0930967,000000
NY Times,20121028,obama,0.211467,000000
NY Times,20121028,romney,0.0274307,000000
NY Times,20121028,obama,0.153305,000000
NY Times,20121028,romney,0.232136,000000
NY Times,20121029,obama,0.220521,000000
NY Times,20121029,romney,0.0741348,000000
NY Times,20121029,obama,0.200544,000000
NY Times,20121029,romney,0.0350767,000000
NY Times,20121030,obama,0.126852,000000
NY Times,20121030,romney,-0.207805,000000
NY Times,20121030,obama,-0.204906,000000
NY Times,20121030,romney,0.074364,000000
NY Times,20121101,obama,0.0563406,000000
NY Times,20121101,romney,-0.159212,000000
NY Times,20121101,obama,-0.0324792,000000
